advertiser,page_id,page_name,ad_id,ad_creation_time,ad_delivery_start_time,currency,reached_country,body_text,link_title,link_caption,link_description,publisher_platforms,ad_snapshot_url,eu_ads_found,status
Spencer Granite Co,1881955151887046,Spencer Granite Co,2784887861868763,2026-07-10,2026-07-10,USD,US,,Get Your Free Countertop Estimate in Hudson! 🏡✨,,,,https://www.facebook.com/ads/library/?id=2784887861868763,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,2100726930882078,2026-07-10,2026-07-10,USD,US,,Get Your Free Countertop Estimate in Hudson! 🏡✨,,,,https://www.facebook.com/ads/library/?id=2100726930882078,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1091758363341100,2026-07-08,2026-07-08,USD,US,,Contact us,,,,https://www.facebook.com/ads/library/?id=1091758363341100,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,2061268141431235,2026-07-08,2026-07-08,USD,US,,Contact us,,,,https://www.facebook.com/ads/library/?id=2061268141431235,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1041707334869300,2026-07-08,2026-07-08,USD,US,,Contact us,,,,https://www.facebook.com/ads/library/?id=1041707334869300,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1037902599144499,2026-07-08,2026-07-08,USD,US,,,,,,https://www.facebook.com/ads/library/?id=1037902599144499,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,996798479826254,2026-07-04,2026-07-04,USD,US,,,,,,https://www.facebook.com/ads/library/?id=996798479826254,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,3764878383665619,2026-07-04,2026-07-04,USD,US,,Spencer Granite Co |   |   |   |   |,,,,https://www.facebook.com/ads/library/?id=3764878383665619,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,823568964171463,2026-07-04,2026-07-04,USD,US,,,,,,https://www.facebook.com/ads/library/?id=823568964171463,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,4367446200191572,2026-07-04,2026-07-04,USD,US,,Free quotes for kitchen & bathroom remodeling projects.,,,,https://www.facebook.com/ads/library/?id=4367446200191572,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1829029268537476,2026-07-04,2026-07-04,USD,US,,Free quotes for kitchen & bathroom remodeling projects.,,,,https://www.facebook.com/ads/library/?id=1829029268537476,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1732581144411058,2026-07-04,2026-07-04,USD,US,,Free quotes for kitchen & bathroom remodeling projects.,,,,https://www.facebook.com/ads/library/?id=1732581144411058,0,US/empty
